구별,강간검거,강간발생,강도검거,강도발생,살인검거,살인발생,절도검거,절도발생,폭력검거,폭력발생,lat,lng
강남구,269,339,26,24,3,3,1129,2438,2096,2336,37.5094352,127.0669578
강동구,152,160,13,14,5,4,902,1754,2201,2530,37.528511,127.1268224
강북구,159,217,4,5,6,7,672,1222,2482,2778,37.6373881,127.0273238
양천구,239,275,10,10,10,9,1070,1952,2768,3204,37.5397827,126.8299968
관악구,264,322,10,12,7,6,937,2103,2707,3235,37.4743789,126.9509748
광진구,234,279,6,11,4,4,1057,2636,2011,2392,37.542873,127.083821
구로구,181,273,13,10,9,9,861,1910,2680,3164,37.494931,126.886731
관악구,143,175,7,7,6,6,654,1264,1946,2193,37.4814051,126.9099508
중구,52,57,4,5,1,1,429,946,832,890,37.5547584,126.9734981
노원구,142,159,9,6,6,5,740,1857,2124,2516,37.6423605,127.0714027
도봉구,121,123,5,5,3,3,492,866,1309,1441,37.6533589,127.052682
동대문구,158,190,12,10,5,5,1071,1940,2377,2642,37.58506149999999,127.0457679
동작구,149,325,7,7,6,8,554,1226,1444,1661,37.5130685,126.9428078
마포구,320,399,7,4,4,4,940,2527,2500,2939,37.550814,126.954028
서초구,51,78,5,4,1,1,293,472,446,500,37.4815453,126.9829992
서대문구,147,175,4,5,7,6,752,1503,1644,1976,37.5647848,126.9667762
은평구,49,54,2,4,4,4,389,781,980,1128,37.6021405,126.9213074
서초구,220,350,5,9,4,4,814,1733,1583,1838,37.4956054,127.0052504
성동구,78,104,5,3,5,4,896,1296,1408,1619,37.5617309,127.0363806
성북구,75,103,3,3,2,2,381,790,1004,1176,37.5897271,127.0161318
송파구,184,234,12,15,8,9,1048,2543,2808,3289,37.5019065,127.1271513
강남구,144,177,16,15,2,2,789,1149,1431,1666,37.49349,127.0772119
양천구,108,131,7,7,5,5,755,1719,1918,2250,37.5165667,126.8656763
영등포구,225,356,14,19,13,13,940,2341,3007,3593,37.5257884,126.901006
용산구,214,251,10,9,4,4,599,1489,2008,2384,37.538649,126.966055
은평구,93,102,5,5,2,2,501,885,1328,1536,37.6283597,126.9287226
종로구,113,137,3,6,0,4,389,952,1135,1291,37.5755578,126.9848674
성북구,42,51,5,5,1,2,344,680,815,932,37.6020592,127.0321577
중랑구,150,164,14,14,7,8,1052,1691,2712,3164,37.618692,127.1047136
중구,96,141,3,3,2,2,485,1204,1164,1335,37.5636465,126.9895796
종로구,64,101,6,6,2,2,379,988,842,972,37.5718401,126.9988562
